# DEPRECATED: This data is Triton fused_moe path only.
# Production FP8 MoE on H100 uses FlashInfer CUTLASS / DeepGEMM, not Triton.
# See README.md "Path Correction" section for details.
# Re-baseline against production path will happen in Step 5.
num_tokens,model,num_experts,top_k,latency_median_ms,latency_p10_ms,latency_p90_ms,latency_min_ms,latency_max_ms,stability_pct,flops,bytes,tflops_achieved,bw_gbs_achieved,intensity,bound,util_pct_vs_tc_roofline
16,mixtral-8x7b,8,2,1.2430239915847778,1.2354880571365356,1.2530239820480347,1.217471957206726,1.4663039445877075,1.4107470998320648,11274289152,704905216,9.070049514994468,567.0889868354752,15.994049832651543,memory,16.92802945777538
32,mixtral-8x7b,8,2,1.2455840110778809,1.2352960109710693,1.2535359859466553,1.223904013633728,1.4738880395889282,1.4643713160545277,22548578304,705167360,18.102816111526124,566.1339208984989,31.97620817843866,memory,16.899520026820863
64,mixtral-8x7b,8,2,1.2994080185890198,1.2919039726257324,1.3074239492416382,1.2844480276107788,1.494912028312683,1.1943882440219464,45097156608,705691648,34.70592451551082,543.0870349455631,63.90490341753343,memory,16.21155328195711
128,mixtral-8x7b,8,2,1.3535360097885132,1.3450560569763184,1.3619840145111084,1.3373119831085205,1.5784640312194824,1.250647002545207,90194313216,706740224,66.63606476941285,522.1436436777375,127.62017804154303,memory,15.586377423216044
256,mixtral-8x7b,8,2,1.8246400356292725,1.789504051208496,1.8799999952316284,1.7778240442276,2.230272054672241,4.959660111366708,180388626432,708837376,98.86258270650545,388.48066586215174,254.4852071005917,memory,11.596437786929902
512,mixtral-8x7b,8,2,2.142416000366211,2.1241281032562256,2.1604480743408203,2.1007039546966553,2.367680072784424,1.695280985503582,360777252864,713031680,168.39738538282532,332.81663312732866,505.9764705882353,compute,17.020152151084023
1024,mixtral-8x7b,8,2,3.8852800130844116,3.855232000350952,3.9304959774017334,3.8301761150360107,4.18828821182251,1.9371570851345499,721554505728,721420288,185.71493001740657,185.6803848295313,1000.1860465116279,compute,18.770459876430827
2048,mixtral-8x7b,8,2,7.141327857971191,7.066080093383789,7.244991779327393,7.006271839141846,7.400320053100586,2.505299987647273,1443109011456,738197504,202.07852659294915,103.36978201834266,1954.909090909091,compute,20.424350777536805
4096,mixtral-8x7b,8,2,13.854159832000732,13.728896141052246,13.994751930236816,13.659584045410156,14.336447715759277,1.9189600265076274,2886218022912,771751936,208.32862172163854,55.705430380367446,3739.8260869565215,compute,21.05605636968249
8192,mixtral-8x7b,8,2,28.23728084564209,27.902496337890625,28.632352828979492,27.588031768798828,29.01215934753418,2.5847265360945944,5772436045824,838860800,204.42605920091168,29.707563011665226,6881.28,compute,20.66161908236423
